               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065735,            0.025509,            0.037257,                   0,                   0,                   0,                   0,             0.04515,            0.016236,            0.020693,               0.091,               0.001,               0.001
                   1,            0.054894,            0.025198,            0.033589,           0.0014155,             0.38095,            0.017619,           0.0025449,            0.037778,             0.01586,            0.019863,            0.080684,           0.0016842,           0.0016842
                   2,            0.049422,            0.028728,            0.038427,           0.0024315,             0.52381,              0.1203,            0.023107,            0.033298,            0.015409,            0.019293,            0.069933,           0.0019328,           0.0019328
                   3,            0.043672,            0.026847,            0.034664,           0.0041026,             0.85714,             0.20794,            0.087847,            0.025965,            0.014703,            0.018913,            0.058746,           0.0017458,           0.0017458
                   4,            0.043704,            0.027739,            0.037187,             0.00419,             0.85714,             0.11056,            0.049195,            0.024237,            0.014444,            0.018747,            0.047123,           0.0011232,           0.0011232
                   0,            0.065735,            0.025509,            0.037257,                   0,                   0,                   0,                   0,             0.04515,            0.016236,            0.020693,               0.091,               0.001,               0.001
                   1,              0.0544,            0.025291,            0.033607,           0.0027483,             0.61905,            0.035796,           0.0088513,            0.035767,            0.015767,            0.019686,            0.081058,           0.0020584,           0.0020584
                   2,            0.048081,            0.028735,            0.038022,           0.0037223,              0.7381,             0.11657,            0.067062,            0.031502,            0.014758,            0.018301,            0.071073,           0.0030733,           0.0030733
                   3,            0.040122,            0.026913,            0.035168,           0.0044432,                   1,             0.27267,             0.14964,            0.015034,            0.014494,            0.019012,            0.061045,           0.0040446,           0.0040446
                   4,            0.040821,            0.026892,            0.036152,           0.0042841,                   1,             0.35734,             0.23194,            0.014072,            0.013396,            0.018877,            0.050972,           0.0049723,           0.0049723
                   5,            0.039541,            0.025992,            0.033827,           0.0040136,                   1,             0.32657,             0.21213,            0.014289,            0.012819,            0.018942,            0.040857,           0.0058565,           0.0058565
                   6,            0.038253,            0.026873,            0.033449,             0.21707,                 0.5,             0.25175,             0.18842,             0.01396,            0.012325,            0.019487,            0.030697,           0.0066971,           0.0066971
                   7,            0.039726,            0.023346,            0.035788,             0.47321,             0.40266,             0.23737,             0.13945,            0.013834,            0.012561,            0.020571,            0.020494,           0.0074942,           0.0074942
                   8,            0.035684,            0.025467,            0.032858,             0.47321,             0.40266,             0.23737,             0.13945,            0.013834,            0.012561,            0.020571,            0.010248,           0.0082477,           0.0082477
                   9,             0.03806,            0.023987,            0.036135,             0.51396,             0.42857,             0.29865,             0.25514,            0.012738,            0.012146,            0.021296,            0.008218,            0.008218,            0.008218
                  10,            0.030088,            0.020378,            0.028941,             0.43948,             0.35714,            0.074339,            0.017323,            0.044613,             0.01169,            0.021974,            0.008218,            0.008218,            0.008218
                  11,            0.048153,            0.021172,            0.035871,             0.43948,             0.35714,            0.074339,            0.017323,            0.044613,             0.01169,            0.021974,             0.00802,             0.00802,             0.00802
                  12,             0.03604,            0.021853,            0.034944,             0.46478,             0.14531,             0.10873,            0.029785,            0.044308,            0.011044,            0.022505,            0.007822,            0.007822,            0.007822
                  13,            0.044027,            0.018868,            0.034657,             0.48533,             0.35714,             0.13839,             0.10306,            0.030815,           0.0090782,            0.020142,            0.007624,            0.007624,            0.007624
                  14,            0.036019,            0.019049,            0.029709,             0.48533,             0.35714,             0.13839,             0.10306,            0.030815,           0.0090782,            0.020142,            0.007426,            0.007426,            0.007426
                  15,             0.04389,            0.019224,            0.034318,              0.4908,             0.35714,             0.19006,             0.13901,            0.030008,           0.0080028,            0.019823,            0.007228,            0.007228,            0.007228
                  16,            0.042207,            0.020695,            0.037494,             0.51611,             0.26603,             0.25271,             0.18455,            0.029178,           0.0068283,            0.019991,             0.00703,             0.00703,             0.00703
                  17,            0.038253,            0.019625,              0.0333,             0.66073,             0.35714,             0.28214,             0.18912,            0.023977,           0.0060062,             0.02024,            0.006832,            0.006832,            0.006832
                  18,            0.030549,            0.019994,              0.0307,             0.66073,             0.35714,             0.28214,             0.18912,            0.023977,           0.0060062,             0.02024,            0.006634,            0.006634,            0.006634
                  19,            0.033922,            0.017357,            0.032451,             0.72249,             0.37274,             0.36289,             0.28308,            0.015276,           0.0059773,            0.019983,            0.006436,            0.006436,            0.006436
                  20,            0.029667,            0.018674,            0.031331,             0.67207,             0.35714,             0.32589,             0.17759,            0.034789,           0.0058837,            0.020302,            0.006238,            0.006238,            0.006238
