spotCode,spotName,spotAddr,daytimeAve,nightAve,daytimeAveLv,nightAveLv,wgs84Lat,wgs84Lon,measYear,quarterSect
A11168010,하나은행,서울특별시 강남구 신사동 611,74.00,69.00,green,yellow,37.5273723649,127.0288288354,2025,2
A11168005,대도초등학교 앞,서울특별시 강남구 도곡동 106-1,72.00,67.00,green,yellow,37.4923783341,127.0545530868,2025,2
A11168004,숙명여고 앞,서울특별시 강남구 도곡동 91,72.00,70.00,green,yellow,37.4895143086,127.0518712625,2025,2
A11168009,원방프라자,서울특별시 강남구 신사동 598-3,72.00,69.00,green,yellow,37.5233720255,127.0285220208,2025,2
B11168005,CGV 강남 옆,서울특별시 서울특별시 강남구 역삼동,67.00,66.00,sky,yellow,37.5018477276851,127.02664864542012,2025,2
B11168004,에스코빌딩 앞,서울특별시 강남구 역삼동,65.00,62.00,blue,green,37.506315658014735,127.03130968006693,2025,2
A11168007,금강쇼핑 앞,서울특별시 강남구 압구정동 458,62.00,53.00,green,green,37.53047161020192,127.02946344860177,2025,2
A11168006,압구정초등학교 후문,서울특별시 강남구 압구정동 461,60.00,47.00,sky,sky,37.531137772,127.031850823,2025,2
A11168008,제일은행 앞,서울특별시 강남구 압구정동 455,59.00,52.00,sky,green,37.53222898,127.027269216,2025,2
A11168003,중대부고 앞,서울특별시 강남구 도곡동 산21,58.00,50.00,green,green,37.4922212012,127.0529485392,2025,2
B11168003,역삼빌딩 앞,서울특별시 강남구 역삼동,58.00,54.00,green,yellow,37.501486866930165,127.02879722862723,2025,2
B11168002,국기원 후문,서울특별시 강남구 역삼동,56.00,51.00,green,yellow,37.50271198509333,127.02992858597776,2025,2
A11168002,대치1동주민센터,서울특별시 강남구 대치동 646-2,55.00,48.00,sky,green,37.4932963058,127.0569057298,2025,2
A11168001,렉슬(아)306동 뒤,서울특별시 강남구 도곡동 527,54.00,47.00,sky,green,37.4932531589,127.0525294977,2025,2
B11168001,국립 어린이청소년도서관,서울특별시 강남구 역삼동,54.00,48.00,sky,green,37.500657830136134,127.02939632937967,2025,2
